S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,16,17,17,"3,216","13,164"
1,Basudebpur,4,4,4,550,"1,363"
2,Bhadrak,5,5,5,"1,306","6,478"
3,BHANDARIPOKHARI,3,3,3,181,"1,901"
4,BONTH,1,1,1,249,974
5,Chandabali,3,4,4,930,"2,448"
,Total,16,17,17,"3,216","13,164"
