S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,218,"1,229","5,024","2,97,511","14,73,994"
1,BASUDEVPUR,36,180,484,"49,492","2,45,916"
2,BHADRAK,36,149,"1,400","47,040","2,35,287"
3,BHANDARIPOKHARI,23,165,695,"30,490","1,45,772"
4,BONTH,25,198,749,"35,141","1,75,532"
5,Chandabali,36,246,469,"52,663","2,57,522"
6,DHAMNAGAR,31,139,703,"38,535","1,93,176"
7,Tihidi,31,152,524,"44,150","2,20,789"
,Total,218,"1,229","5,024","2,97,511","14,73,994"
