S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,150,346,329,886,"55,286","2,73,389"
1,Basudebpur,23,36,32,94,"10,940","52,790"
2,Bhadrak,27,50,45,190,"6,156","30,876"
3,BHANDARIPOKHARI,18,36,33,80,"4,252","20,193"
4,BONTH,24,116,115,257,"10,196","51,400"
5,Chandabali,24,51,47,88,"9,868","48,480"
6,DHAMNAGAR,12,16,16,66,"3,346","16,856"
7,Tihidi,22,41,41,111,"10,528","52,794"
,Total,150,346,329,886,"55,286","2,73,389"
