S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,47,134,"20,094","84,892"
1,B. Maliguda,3,6,"1,496","6,451"
2,Dangarbheja,3,9,"2,092","8,735"
3,Dhandra,4,16,"2,373","10,482"
4,Dohana,6,20,"2,463","10,711"
5,Jagannathpur,7,20,"1,915","6,477"
6,Jhadabandhaguda,9,13,"1,631","7,131"
7,Mentry,3,7,"1,735","7,014"
8,Nandahandi,4,9,"1,678","7,576"
9,Nishnahandi,2,12,"1,284","6,589"
10,Podal Guda,2,8,"1,269","5,932"
11,Sindhiguda,4,14,"2,158","7,794"
,Total,47,134,"20,094","84,892"
