S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,98,90,235,"10,590","47,870"
1,CHITAPARI III,5,5,9,398,"1,776"
2,DUDAMETA,5,5,14,456,"2,145"
3,Kambeda,3,3,11,"1,149","5,225"
4,Korukonda,7,5,20,577,"2,583"
5,Mariwada,2,1,1,35,155
6,Nakamamidi,31,30,60,"1,592","7,333"
7,NILAKHAMBUR,1,1,8,752,"3,088"
8,OLD CHIMATAPALLI,6,5,24,"1,080","5,302"
9,Potrel,5,5,14,"1,271","4,827"
10,Somnathpur,15,14,27,653,"2,778"
11,Tarlakota,15,13,30,977,"5,230"
12,Tumusapali,3,3,17,"1,650","7,428"
,Total,98,90,235,"10,590","47,870"
