S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,13,13,918,"5,162"
1,Baideswar,3,3,245,"1,269"
2,Balabhadrapur,1,1,0,0
3,Kalapathar,4,4,328,"2,668"
4,Kalipoi,1,1,16,260
5,Kiapalla,1,1,16,0
6,Nuagan,1,1,0,0
7,Puincha,2,2,313,965
,Total,13,13,918,"5,162"
