S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,3,3,329,663
1,Govindapali,1,1,69,0
2,Madakapdar,1,1,73,119
3,Rasabeda,1,1,187,544
,Total,3,3,329,663
