S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,131,642,"2,768","1,35,359","5,52,688"
1,BODEN,15,87,616,"22,651","84,128"
2,Khariar,26,115,370,"24,886","1,06,198"
3,Komna,32,159,607,"29,970","1,32,125"
4,Nuapada,31,157,474,"28,347","1,17,816"
5,SINAPALI,27,124,701,"29,505","1,12,421"
,Total,131,642,"2,768","1,35,359","5,52,688"
