S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,7,7,7,896,"5,306"
1,BODEN,1,1,1,186,636
2,Komna,4,4,4,330,"2,977"
3,SINAPALI,2,2,2,380,"1,693"
,Total,7,7,7,896,"5,306"
