S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,131,635,"2,761","1,34,463","5,47,382"
1,BODEN,15,86,615,"22,465","83,492"
2,Khariar,26,115,370,"24,886","1,06,198"
3,Komna,32,155,603,"29,640","1,29,148"
4,Nuapada,31,157,474,"28,347","1,17,816"
5,SINAPALI,27,122,699,"29,125","1,10,728"
,Total,131,635,"2,761","1,34,463","5,47,382"
