S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,103,204,"25,769","95,544"
1,Badbaunsen,8,13,"1,458","5,526"
2,Badbrahmani,4,9,"1,009","3,959"
3,Bairakhpali,4,8,918,"3,621"
4,Barmunda,4,10,"1,109","4,093"
5,Beniachal,3,5,916,"3,309"
6,Bhatigaon,7,13,"1,358","4,618"
7,Budapali,5,12,"1,173","4,677"
8,Charpali,4,5,958,"3,513"
9,Ganthiapali,5,12,966,"3,836"
10,Jaring,2,6,"1,228","4,373"
11,Jokhipali,4,5,805,"2,912"
12,Kharmunda,2,6,787,"2,778"
13,Laumunda,7,14,"2,063","7,265"
14,M.sirigida,4,6,"1,005","3,939"
15,Pada,5,15,"1,159","4,970"
16,Pahandi,5,10,951,"3,332"
17,Patharla,3,8,947,"3,723"
18,Saipali,5,9,"1,181","4,048"
19,Samalaipadar,4,9,"1,217","4,189"
20,Sanbaunsen,5,7,"1,220","4,525"
21,Surubali,3,5,909,"3,399"
22,T.gandpali,7,12,"1,369","4,842"
23,Talpadar,3,5,"1,063","4,097"
,Total,103,204,"25,769","95,544"
