S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,7,7,19,678,"3,573"
1,Bangida,1,1,2,72,455
2,Brajamohanpur,1,1,5,185,"1,189"
3,Garh Haladia,1,1,5,157,675
4,Kaipadara,1,1,1,14,80
5,Malipur,1,1,3,200,846
6,Naranagada,1,1,1,21,150
7,Nijigarh Tapanga,1,1,2,29,178
,Total,7,7,19,678,"3,573"
