S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,6,6,11,708,"2,695"
1,Ektali,1,1,2,61,254
2,Marda Palsa,2,2,5,99,400
3,Matiagarh,1,1,1,423,"1,594"
4,Moudi,2,2,3,125,447
,Total,6,6,11,708,"2,695"
