S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,206,343,"24,119","1,05,255"
1,Astakunar,11,21,952,"4,477"
2,Barehipani,14,22,829,"4,053"
3,Baunsa Nali,9,15,"1,066","4,667"
4,Begunia,5,8,960,"4,037"
5,Chakidi,19,22,"1,620","7,058"
6,Dhalabani,12,20,"1,332","6,345"
7,Durdura,8,22,"1,213","4,874"
8,Ektali,10,22,"1,563","6,686"
9,Gudgudia,16,23,"1,027","4,803"
10,Jamdasahi,7,16,"1,554","6,354"
11,Jamukeswar,14,24,"1,454","5,592"
12,Jashipur,4,12,"1,541","7,827"
13,Manada,8,14,944,"4,221"
14,Marda Palsa,11,17,"1,045","4,162"
15,Matiagarh,10,14,"1,665","7,309"
16,Moudi,11,13,"1,085","4,135"
17,Pantho,7,9,821,"3,407"
18,Podagarh,14,22,"1,123","4,692"
19,Rugudi,9,17,"1,249","6,161"
20,Tangabila,7,10,"1,076","4,395"
,Total,206,343,"24,119","1,05,255"
