S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,11,11,957,"8,750"
1,Anseikala,1,1,381,984
2,BIRIKALA,2,2,13,"1,792"
3,Bolani,2,2,210,591
4,CHAMAKPUR,6,6,353,"5,383"
,Total,11,11,957,"8,750"
