S.No.,District,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,9,75,418,400,400,"65,096","2,64,870"
1,Nicobars,3,10,93,93,93,"9,213","36,666"
2,North And Middle Andaman,3,37,207,195,195,"26,439","1,06,852"
3,South Andaman,3,28,118,112,112,"29,444","1,21,352"
,Total,9,75,418,400,400,"65,096","2,64,870"
