S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,10,9,12,289,"1,384"
1,Bhimkand,1,1,1,34,170
2,Dubulapal,1,1,1,15,75
3,Jagamohanpur,1,1,2,50,190
4,Kaliahata,1,1,1,39,206
5,Karamangi,2,1,1,16,80
6,Khuntapada,1,1,2,25,115
7,S.n.purgoda,1,1,2,52,198
8,Sirigida,1,1,1,30,150
9,Talapada,1,1,1,28,200
,Total,10,9,12,289,"1,384"
