S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,21,30,30,"2,235","14,711"
1,Bandhugaon,1,1,1,28,0
2,Boipariguda,4,6,6,444,"1,661"
3,Borigumma,2,4,4,541,"1,347"
4,Dasamantapur,4,6,6,481,"1,478"
5,Jeypore,1,1,1,0,180
6,Koraput,1,1,1,5,"8,977"
7,Kundra,1,1,1,235,304
8,Lamtaput,1,1,1,24,92
9,Laxmipur,1,2,2,32,272
10,Nandapur,1,1,1,10,0
11,Narayanpatna,1,1,1,100,157
12,Pottangi,1,3,3,5,61
13,Semiliguda,2,2,2,330,182
,Total,21,30,30,"2,235","14,711"
