S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,4,3,7,207,729
1,Kumbhari,1,1,2,32,137
2,Narayanapatna,3,2,5,175,592
,Total,4,3,7,207,729
