S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,33,91,69,150,"4,404","18,309"
1,Barkote,9,35,23,53,"1,857","7,120"
2,Reamal,12,28,22,51,"1,412","6,205"
3,Tileibani,12,28,24,46,"1,135","4,984"
,Total,33,91,69,150,"4,404","18,309"
