S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,68,393,371,983,"27,509","1,19,556"
1,Barkote,23,110,98,250,"8,091","32,433"
2,Reamal,25,118,112,300,"6,859","31,334"
3,Tileibani,20,165,161,433,"12,559","55,789"
,Total,68,393,371,983,"27,509","1,19,556"
