S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,70,456,434,"1,133","31,913","1,37,865"
1,Barkote,24,132,120,303,"9,948","39,553"
2,Reamal,26,139,133,351,"8,271","37,539"
3,Tileibani,20,185,181,479,"13,694","60,773"
,Total,70,456,434,"1,133","31,913","1,37,865"
