S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,177,344
1,BISSAMCUTTACK,2,2,166,139
2,DUMBURNALI,1,1,7,193
3,HATAMUNIGUDA,1,1,4,12
,Total,4,4,177,344
