S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,96,280,"23,395","94,365"
1,Charangul,2,10,"2,122","7,526"
2,Daleiguda,4,17,"1,601","6,364"
3,Dudhary,4,15,"1,362","5,298"
4,Gunthaput,13,21,"1,333","5,191"
5,Hataguda,5,15,"1,530","6,198"
6,Khudi,3,14,"1,214","4,831"
7,Kunduli,3,12,"1,233","5,882"
8,Pakjhola,3,16,"1,944","7,459"
9,Parajamuthai,11,18,"1,002","4,569"
10,Pitaguda,5,11,"1,385","5,023"
11,Rajpalma,4,11,693,"2,490"
12,Rajput,10,22,"1,728","7,245"
13,Renga,3,18,"1,414","5,992"
14,Sadam,4,30,"1,246","5,759"
15,Sorisapadar,4,13,850,"3,342"
16,Subai,11,21,"1,561","6,322"
17,Upparkanti,7,16,"1,177","4,874"
,Total,96,280,"23,395","94,365"
