S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,398,"2,915","2,878","8,361","4,04,886","17,71,778"
1,Badsahi,29,148,146,472,"23,851","1,00,303"
2,Bahalda,11,75,73,197,"12,262","52,669"
3,Bangriposi,19,189,186,570,"20,181","85,631"
4,Baripada,11,95,95,284,"15,142","65,674"
5,Betnoti,24,128,127,289,"18,485","84,982"
6,Bijatala,12,123,119,349,"12,727","56,569"
7,Bisoi,13,132,128,249,"15,337","66,721"
8,Gopabandhunagar,13,96,96,303,"16,930","58,407"
9,Jamda,10,74,74,171,"11,717","51,243"
10,Jasipur,20,177,176,286,"18,972","83,322"
11,Kaptipada,26,104,104,427,"24,720","1,14,643"
12,Karanjia,15,134,134,431,"17,771","80,075"
13,Khunta,14,121,119,589,"15,422","67,062"
14,Kuliana,17,161,158,394,"19,110","83,803"
15,Kusumi,14,98,96,230,"16,655","75,581"
16,Morada,19,107,105,191,"13,198","56,407"
17,Rairangpur,9,85,85,244,"8,059","36,229"
18,Raruan,12,73,72,161,"10,118","44,230"
19,Rasagovindapur,16,120,119,402,"14,484","66,752"
20,Samakhunta,14,96,96,333,"14,870","63,101"
21,Saraskana,17,121,116,404,"16,981","72,874"
22,Sukruli,10,66,66,192,"9,895","45,897"
23,Suliapada,13,98,95,226,"10,328","42,533"
24,Thakurmunda,18,150,150,501,"20,617","96,360"
25,Tiring,10,72,72,141,"11,497","51,290"
26,Udala,12,72,71,325,"15,557","69,420"
,Total,398,"2,915","2,878","8,361","4,04,886","17,71,778"
