S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,4,16,4,9,295,"1,414"
1,Derabis,1,3,1,2,51,238
2,Mahakalapada,2,7,2,2,84,426
3,Rajnagar,1,6,1,5,160,750
,Total,4,16,4,9,295,"1,414"
